offense,type,severity
"Obstructing Justice (Witness or Officer) (Influence,Delay)",Other,M9
Aggravated Aslt-Grave Risk,Violent,M4
Obstruction Justice (Injury/Property Damage-Giving Information),Other,M5
Felony Murder,Homicide,M1
ASLT W/I KILL WHILE ARMED,Violent,M3
Carrying a Pistol Without a License,Weapon,M8
Obstructing Justice,Other,M5
First Degree Sexual Abuse,Sex,M5
Sexual Performance Using Minors,Sex,M8
Robbery,Violent,M7
Carry Dangerous Weapon- Felony,Weapon,M8
Obstructing Justice - (Harassment-Reporting),Other,M5
Unlawful Possession of a Firearm (Prior Conviction Under Chapter 45),Weapon,M7
Bribery,Other,M8
Extortion,Other,M8
Felon in Possession,Weapon,M7
Pandering,Sex,M9
1st Degree Sexual Abuse of Patient/Client (During Course of Treatment),Sex,M7
"Escape, (From Officer)",Other,M9
Forgery,Property,M9
Felon in Possession,Weapon,M8
Second Degree Insurance Fraud,Property,M9
Aggravated Assault Knowingly,Violent,M8
Second Degree Sex Abuse of a Minor,Sex,M7
Manufacture or Possessing W/Intent to Manufacture a Controlled Substance,Drug,D3
Uttering,Property,M9
First Degree Sex Abuse (Threatening),Sex,M2
Riot Act -Felony,Other,M7
Incest,Sex,M7
Carrying Dangerous Weapon (Outside Home or Place of Business/Prior Felony) 2014,Weapon,M8
Arson,Property,M8
Carrying Dangerous Weapon (Outside Home or Place of Business) 2015,Weapon,M8
Dist of Counterfeit Substance,Drug,D4
"Criminal Street Gang Affiliation,Felony or Violent Misdemeanor",Other,M8
Unlawful Possession of a Firearm (Order to Relinquish),Weapon,M8
Conspiracy to Commit a Crime of Violence,Other,M5
Third Degree Sex Abuse- Force,Sex,M5
Arranging for Sexual Contact W/a Real or Fictitious Child,Sex,M8
Second Degree Sex Abuse- Incompetent,Sex,M7
Breaking & Entering Vending Machine,Property,M9
Second Degree Sex Abuse of a Patient (Impaired),Sex,M8
1st Degree Sexual Abuse of Patient/Client (Victim Impaired),Sex,M7
Dist of Counterfeit Substance,Drug,D3
Poss W/I to Dist Marijuana-Fel,Drug,D4
Unlawful Introduction of Contraband Into Penal Institution,Other,M8
Carrying Dangerous Weapon (Outside Home or Place of Business) 2014,Weapon,M8
Burglary,Property,M8
Assault w/Intent to Commit First Degree Sexual Abuse (Force),Violent,M5
Escape from DYRS,Other,M9
Unlawful Possession of a Firearm (Fugitive from Justice),Weapon,M8
Malicious Disfigurement,Violent,M6
Aggravated Aslt Knowingly Grave Risk,Violent,M8
Second Degree Sexual Abuse of a Patient or Client,Sex,M8
1st Degree Cruelty to Children,Violent,M8
Assault w/Intent to Commit First Degree Sexual Abuse (Threatening),Violent,M6
CPWOL Outside Home or Business in violation of 2nd Emergency Act of 2014 Act 20-0564,Weapon,M8
1ST DEG MURDER W/ARMED,Homicide,M1
POS. F/A DURING VIO/DAG OFF,Weapon,M5
DEST PROP OVER 200,Property,M8
Carry Dang Weapon-Outside Home/Business,Weapon,M8
Mayhem,Violent,M5
Poss W/I to Dist Marijuana-Fel,Drug,D1
Murder 1 Premeditated,Homicide,M1
Enticing a Child-Felony,Sex,M8
Identity Theft First Degree,Property,M8
Poss Prohibited Weapon -Felony,Weapon,M9
Maintaining a Crack House,Drug,D2
Trafficking Stolen Property,Property,M8
Subornation or Perjury,Other,M8
"Carry Rifle or Shotgun Outside Home or Business,Viol of Inoperable Pistol Emgncy Act of 2008",Weapon,M8
Deceptive Labeling - Felony,Property,M9
Felony Stalking,Other,M9
ATT ADW,Violent,M8
Sex Trafficking of Children,Sex,M5
Burglary One,Property,M7
Conspiracy,Other,M5
Second Degree Sex Abuse-Threats,Sex,M5
Carry Pistol W/O Lic -Prior Fel/CPOWL,Weapon,M8
Assault (Felony),Violent,M8
Extortion,Other,M9
First Degree Sex Abuse- Force,Sex,M6
Aslt W/I to Commit First Deg Sex Abuse,Violent,M6
Accessory After The Fact-ADW,Violent,M6
1st Degree Cruelty to Children (Grave Risk),Violent,M5
Presence In A Motor Vehicle Containing A Firearm,Weapon,M8
First Degree Sex Abuse- Force,Sex,M5
Second Degree Sexual Abuse of A Ward,Sex,M8
"Intimidating,Impeding,Interfering,Retaliating Against a Govt Official or Empl of DC",Other,M8
Second Degree Child Sex Abuse,Sex,M5
Second Degree Sex Abuse-Threats,Sex,M4
Destruction of Property over $200,Property,M8
Obstruction Justice (Harassment - Testimony),Other,M5
Distribution of Controlled Substance to Minor,Drug,D3
Impersonating Public Official,Other,M9
Unlawful Possession of Contraband,Other,M8
Unauthorized Use of A Vehicle - Prior Conviction,Property,M8
First Degree Sex Abuse- Threatening,Sex,M6
Blackmail,Other,M9
Aslt W/I to Commit Mayhem,Violent,M7
Contributing to the Delinquency of a Minor by a Person w/a Prior Conviction,Other,M9
Obstruction Justice (Witness or Officer)(Cause Absence),Other,M5
Carry Dangerous Weapon -Gun,Weapon,M8
Obtain Controlled Substance By Fraud,Drug,D3
Carry Pistol W/O Lic -Prior Fel/CPWOL,Weapon,M8
Aslt W/I to Commit First Deg Child Sex Abuse,Violent,M6
"Obstructing Justice (Witness or Officer) (Influence, Delay)",Other,M5
Distribute Firearm/Dest. Device/Ammo,Weapon,M7
Obstruction Justice (Harassment - Insitution of Prosecution),Other,M5
Compelling An Individual To Live A Life of Prostitution Against His or Her Will,Sex,M6
Aslt W/I to Commit First Deg Sex Abuse,Violent,M5
Burglary,Property,M5
First Degree Sexual Abuse of A Patient/Client,Sex,M7
"Criminal Street Gang Affiliation, Felony or Violent Misdemeanor",Other,M8
Assault on a Police Officer,Violent,M5
Malicious Disfigurement,Violent,M5
Criminal Abuse Vulnerable Adult,Other,M7
Unarmed Carjacking,Violent,M3
Cruelty to Children,Violent,M6
"Vandalizing, Damaging, Destroying, Taking Property of a Government Official",Property,M9
Operating a House of Prostitution,Sex,M9
Keeping Disorderly House (Bawdy),Sex,M9
Bad Check-Check more than $200,Property,M9
"Carry Rifle or Shotgun Outside Home or Business, Viol of Inoperable Pistol Emgncy Act of 2008",Weapon,M8
Obtain Controlled Substance By Fraud,Drug,D2
Sexual Abuse of a Secondary Education Student,Sex,M7
"Intimidating, Impeding, Interfering, Retaliating Against a Govt Official or Empl of DC",Other,M8
Present in Motor Vehicle Containing Firearm,Weapon,M8
First Degree Child Sex Abuse,Sex,M2
Theft Second Degree,Property,M9
Introduce Contraband Into Penal Institution,Other,M8
First Degree Sexual Abuse of A Ward,Sex,M7
Prostitution,Sex,M9
ACCESS AFTER FACT/MURDER I W/A,Homicide,M1
APO,Violent,M7
CONSPIRACY,Other,M9
BAIL REFORM ACT-FELONY,Other,M9
Pandering a Mnior,Sex,M5
Pandering a Minor,Sex,M5
Poss W/I to Dist Marijuana-Fel,Drug,D2
Stalking - Felony,Violent,M9
Burglary,Property,M3
Obstructing Justice (Juror),Other,M5
