	model	age_pair	years	acc	diff	expected	unexpected	macrodiff
0	distilbert/distilgpt2	15-17 vs 51-60	0	0.12169811320754717	-0.003712201170065269	0.03688720589091709	0.040599407060982355	-0.0037122011700652657
1	distilbert/distilgpt2	15-17 vs 51-60	1	0.05188679245283019	-0.0047768459568350565	0.040105532398252694	0.044882378355087744	-0.0047768459568350505
2	distilbert/distilgpt2	15-17 vs 51-60	10	0.016037735849056604	-0.005633658204856758	0.06836728431121981	0.07400094251607658	-0.00563365820485677
3	distilbert/distilgpt2	15-17 vs 51-60	5	0.016981132075471698	-0.00606188753316745	0.055966215930509274	0.06202810346367672	-0.00606188753316745
4	distilbert/distilgpt2	15-17 vs 71+	0	0.5188679245283019	0.012267933227956515	0.03688720589091709	0.024619272662960573	0.012267933227956516
5	distilbert/distilgpt2	15-17 vs 71+	1	0.5311320754716982	0.011557350510248093	0.040105532398252694	0.028548181888004596	0.011557350510248098
6	distilbert/distilgpt2	15-17 vs 71+	10	0.5216981132075472	0.010206342415242552	0.06836728431121981	0.05816094189597728	0.010206342415242535
7	distilbert/distilgpt2	15-17 vs 71+	5	0.5283018867924528	0.011551097830991269	0.055966215930509274	0.044415118099518	0.011551097830991272
8	distilbert/distilgpt2	18-21 vs 15-17	0	0.3443396226415094	0.0025940373772875384	0.039481243268204624	0.03688720589091709	0.002594037377287535
9	distilbert/distilgpt2	18-21 vs 15-17	1	0.3160377358490566	0.0011621848905736636	0.041267717288826354	0.040105532398252694	0.00116218489057366
10	distilbert/distilgpt2	18-21 vs 15-17	10	0.35094339622641507	0.002497693793187829	0.07086497810440764	0.06836728431121981	0.00249769379318783
11	distilbert/distilgpt2	18-21 vs 15-17	5	0.3462264150943396	0.0024642644209584338	0.05843048035146771	0.055966215930509274	0.0024642644209584355
12	distilbert/distilgpt2	18-21 vs 41-50	0	0.34056603773584904	0.002005429635438245	0.039481243268204624	0.037475813632766385	0.0020054296354382398
13	distilbert/distilgpt2	18-21 vs 41-50	1	0.29245283018867924	0.0005274173243011862	0.041267717288826354	0.04074029996452517	0.0005274173243011854
14	distilbert/distilgpt2	18-21 vs 41-50	10	0.27735849056603773	0.00029401262719224065	0.07086497810440764	0.07057096547721542	0.000294012627192225
15	distilbert/distilgpt2	18-21 vs 41-50	5	0.2820754716981132	0.00027123302486779647	0.05843048035146771	0.05815924732659991	0.000271233024867798
16	distilbert/distilgpt2	18-21 vs 51-60	0	0.20754716981132076	-0.001118163792777731	0.039481243268204624	0.040599407060982355	-0.0011181637927777308
17	distilbert/distilgpt2	18-21 vs 51-60	1	0.10754716981132076	-0.0036146610662613934	0.041267717288826354	0.044882378355087744	-0.0036146610662613904
18	distilbert/distilgpt2	18-21 vs 51-60	10	0.08962264150943396	-0.0031359644116689287	0.07086497810440764	0.07400094251607658	-0.00313596441166894
19	distilbert/distilgpt2	18-21 vs 51-60	5	0.09811320754716982	-0.0035976231122090154	0.05843048035146771	0.06202810346367672	-0.003597623112209014
20	distilbert/distilgpt2	18-21 vs 71+	0	0.5188679245283019	0.014861970605244053	0.039481243268204624	0.024619272662960573	0.014861970605244051
21	distilbert/distilgpt2	18-21 vs 71+	1	0.5311320754716982	0.012719535400821757	0.041267717288826354	0.028548181888004596	0.012719535400821758
22	distilbert/distilgpt2	18-21 vs 71+	10	0.5216981132075472	0.01270403620843038	0.07086497810440764	0.05816094189597728	0.012704036208430365
23	distilbert/distilgpt2	18-21 vs 71+	5	0.5283018867924528	0.014015362251949704	0.05843048035146771	0.044415118099518	0.014015362251949708
24	distilbert/distilgpt2	22-30 vs 15-17	0	0.22924528301886793	0.001120876734092854	0.03800808262500994	0.03688720589091709	0.0011208767340928488
25	distilbert/distilgpt2	22-30 vs 15-17	1	0.1349056603773585	-0.0010907824444272543	0.03901474995382544	0.040105532398252694	-0.0010907824444272574
26	distilbert/distilgpt2	22-30 vs 15-17	10	0.24056603773584906	0.0009848195573941114	0.06935210386861394	0.06836728431121981	0.0009848195573941287
27	distilbert/distilgpt2	22-30 vs 15-17	5	0.2481132075471698	0.0013450509690584424	0.05731126689956772	0.055966215930509274	0.001345050969058445
28	distilbert/distilgpt2	22-30 vs 18-21	0	0.1160377358490566	-0.0014731606431946842	0.03800808262500994	0.039481243268204624	-0.0014731606431946861
29	distilbert/distilgpt2	22-30 vs 18-21	1	0.07358490566037736	-0.002252967335000918	0.03901474995382544	0.041267717288826354	-0.0022529673350009174
30	distilbert/distilgpt2	22-30 vs 18-21	10	0.11981132075471698	-0.0015128742357937179	0.06935210386861394	0.07086497810440764	-0.0015128742357937014
31	distilbert/distilgpt2	22-30 vs 18-21	5	0.14339622641509434	-0.0011192134518999914	0.05731126689956772	0.05843048035146771	-0.0011192134518999905
32	distilbert/distilgpt2	22-30 vs 31-40	0	0.35566037735849054	0.0007538966651213305	0.03800808262500994	0.03725418595988861	0.00075389666512133
33	distilbert/distilgpt2	22-30 vs 31-40	1	0.057547169811320756	-0.001044608152635604	0.03901474995382544	0.04005935810646104	-0.001044608152635601
34	distilbert/distilgpt2	22-30 vs 31-40	10	0.15471698113207547	-0.00041528550017282654	0.06935210386861394	0.06976738936878676	-0.0004152855001728212
35	distilbert/distilgpt2	22-30 vs 31-40	5	0.1481132075471698	-0.0005269760994082709	0.05731126689956772	0.05783824299897598	-0.0005269760994082648
36	distilbert/distilgpt2	22-30 vs 41-50	0	0.2839622641509434	0.0005322689922435606	0.03800808262500994	0.037475813632766385	0.0005322689922435536
37	distilbert/distilgpt2	22-30 vs 41-50	1	0.07641509433962264	-0.0017255500106997316	0.03901474995382544	0.04074029996452517	-0.001725550010699732
38	distilbert/distilgpt2	22-30 vs 41-50	10	0.07924528301886792	-0.0012188616086014773	0.06935210386861394	0.07057096547721542	-0.0012188616086014764
39	distilbert/distilgpt2	22-30 vs 41-50	5	0.11415094339622642	-0.0008479804270321951	0.05731126689956772	0.05815924732659991	-0.0008479804270321925
40	distilbert/distilgpt2	22-30 vs 51-60	0	0.02830188679245283	-0.002591324435972415	0.03800808262500994	0.040599407060982355	-0.002591324435972417
41	distilbert/distilgpt2	22-30 vs 51-60	1	0.002830188679245283	-0.005867628401262311	0.03901474995382544	0.044882378355087744	-0.005867628401262308
42	distilbert/distilgpt2	22-30 vs 51-60	10	0.002830188679245283	-0.004648838647462647	0.06935210386861394	0.07400094251607658	-0.004648838647462641
43	distilbert/distilgpt2	22-30 vs 51-60	5	0.0047169811320754715	-0.004716836564109006	0.05731126689956772	0.06202810346367672	-0.004716836564109005
44	distilbert/distilgpt2	22-30 vs 61-70	0	0.05566037735849057	-0.003481817163373195	0.03800808262500994	0.04148989978838313	-0.003481817163373195
45	distilbert/distilgpt2	22-30 vs 61-70	1	0.02358490566037736	-0.005228773836012238	0.03901474995382544	0.044243523789837674	-0.005228773836012238
46	distilbert/distilgpt2	22-30 vs 61-70	10	0.02358490566037736	-0.0042851569336442505	0.06935210386861394	0.07363726080225819	-0.0042851569336442435
47	distilbert/distilgpt2	22-30 vs 61-70	5	0.033962264150943396	-0.004194117070190543	0.05731126689956772	0.06150538396975826	-0.004194117070190538
48	distilbert/distilgpt2	22-30 vs 71+	0	0.5188679245283019	0.013388809962049369	0.03800808262500994	0.024619272662960573	0.013388809962049365
49	distilbert/distilgpt2	22-30 vs 71+	1	0.5311320754716982	0.010466568065820837	0.03901474995382544	0.028548181888004596	0.01046656806582084
50	distilbert/distilgpt2	22-30 vs 71+	10	0.5216981132075472	0.011191161972636664	0.06935210386861394	0.05816094189597728	0.011191161972636664
51	distilbert/distilgpt2	22-30 vs 71+	5	0.5283018867924528	0.01289614880004971	0.05731126689956772	0.044415118099518	0.012896148800049717
52	distilbert/distilgpt2	31-40 vs 15-17	0	0.19811320754716982	0.0003669800689715236	0.03725418595988861	0.03688720589091709	0.00036698006897151886
53	distilbert/distilgpt2	31-40 vs 15-17	1	0.18679245283018867	-4.6174291791650347e-05	0.04005935810646104	0.040105532398252694	-4.617429179165633e-05
54	distilbert/distilgpt2	31-40 vs 15-17	10	0.3179245283018868	0.001400105057566938	0.06976738936878676	0.06836728431121981	0.00140010505756695
55	distilbert/distilgpt2	31-40 vs 15-17	5	0.280188679245283	0.0018720270684667133	0.05783824299897598	0.055966215930509274	0.0018720270684667098
56	distilbert/distilgpt2	31-40 vs 18-21	0	0.08867924528301886	-0.002227057308316015	0.03725418595988861	0.039481243268204624	-0.002227057308316016
57	distilbert/distilgpt2	31-40 vs 18-21	1	0.12547169811320755	-0.0012083591823653138	0.04005935810646104	0.041267717288826354	-0.0012083591823653164
58	distilbert/distilgpt2	31-40 vs 18-21	10	0.12641509433962264	-0.0010975887356208913	0.06976738936878676	0.07086497810440764	-0.0010975887356208802
59	distilbert/distilgpt2	31-40 vs 18-21	5	0.15660377358490565	-0.0005922373524917206	0.05783824299897598	0.05843048035146771	-0.0005922373524917257
