	model	years	severity	acc	diff	expected	unexpected	macrodiff
0	HuggingFaceTB/SmolLM2-135M	0	D1	0.2	-0.004379337897262313	0.0868529966660086	0.09123233456327091	-0.004379337897262317
1	HuggingFaceTB/SmolLM2-135M	0	D2	0.32	-0.002652323802030879	0.08648023029418252	0.08913255409621339	-0.0026523238020308704
2	HuggingFaceTB/SmolLM2-135M	0	D3	0.3	-0.0038129936223640476	0.08614610972474561	0.08995910334710966	-0.00381299362236405
3	HuggingFaceTB/SmolLM2-135M	0	D4	0.28	-0.0038869188698299716	0.0951861518956866	0.09907307076551657	-0.003886918869829961
4	HuggingFaceTB/SmolLM2-135M	0	M1	0.32	-0.0035486078541725804	0.11584234205540266	0.11939094990957524	-0.003548607854172589
5	HuggingFaceTB/SmolLM2-135M	0	M2	0.3333333333333333	-0.0030931472584294693	0.11289955915417518	0.11599270641260466	-0.0030931472584294767
6	HuggingFaceTB/SmolLM2-135M	0	M3	0.35555555555555557	-0.002613542799331809	0.08500071497166771	0.08761425777099952	-0.0026135427993318056
7	HuggingFaceTB/SmolLM2-135M	0	M4	0.36666666666666664	-0.003852712925648433	0.07104494707749226	0.0748976600031407	-0.003852712925648441
8	HuggingFaceTB/SmolLM2-135M	0	M5	0.37142857142857144	-0.002102533148865318	0.09497790520650766	0.09708043835537299	-0.0021025331488653265
9	HuggingFaceTB/SmolLM2-135M	0	M6	0.30714285714285716	-0.0020503963398823583	0.07859517360770946	0.08064556994759182	-0.0020503963398823682
10	HuggingFaceTB/SmolLM2-135M	0	M7	0.3586206896551724	-0.00196715841301472	0.08547462600221051	0.08744178441522522	-0.0019671584130147163
11	HuggingFaceTB/SmolLM2-135M	0	M8	0.4114942528735632	-0.0015478223355802712	0.11616623726226144	0.11771405959784172	-0.0015478223355802762
12	HuggingFaceTB/SmolLM2-135M	0	M9	0.3782608695652174	-0.0021940092483735325	0.10104031516797393	0.10323432441634746	-0.002194009248373527
13	HuggingFaceTB/SmolLM2-135M	100	D1	0.4666666666666667	-0.001958130191390698	0.0772204328027631	0.0791785629941538	-0.0019581301913906973
14	HuggingFaceTB/SmolLM2-135M	100	D2	0.48	-0.000998668512329459	0.11186422661005048	0.11286289512237994	-0.0009986685123294647
15	HuggingFaceTB/SmolLM2-135M	100	D3	0.45	-0.0005799786476927721	0.11511313876180788	0.11569311740950065	-0.0005799786476927693
16	HuggingFaceTB/SmolLM2-135M	100	D4	0.44	-0.0008611045405268621	0.11576312973222226	0.11662423427274911	-0.0008611045405268469
17	HuggingFaceTB/SmolLM2-135M	100	M1	0.52	-0.003872646948378419	0.11721941279338957	0.12109205974176797	-0.003872646948378397
18	HuggingFaceTB/SmolLM2-135M	100	M2	0.6333333333333333	-0.0002240686990666699	0.1403055058432073	0.140529574542274	-0.00022406869906668736
19	HuggingFaceTB/SmolLM2-135M	100	M3	0.5777777777777777	0.000345626854525308	0.1331051504823133	0.132759523627788	0.0003456268545252994
20	HuggingFaceTB/SmolLM2-135M	100	M4	0.4666666666666667	0.0005106858314926943	0.11601399958575102	0.11550331375425832	0.0005106858314927049
21	HuggingFaceTB/SmolLM2-135M	100	M5	0.5666666666666667	-0.0002949649165566619	0.11716883142917232	0.11746379634572898	-0.0002949649165566587
22	HuggingFaceTB/SmolLM2-135M	100	M6	0.5214285714285715	-0.0006696129417832672	0.12066414384796317	0.12133375678974641	-0.0006696129417832347
23	HuggingFaceTB/SmolLM2-135M	100	M7	0.5103448275862069	-0.000796984217641305	0.1369306790491861	0.13772766326682742	-0.0007969842176413222
24	HuggingFaceTB/SmolLM2-135M	100	M8	0.5172413793103449	-0.0005882623187558691	0.16048479028366283	0.16107305260241866	-0.0005882623187558333
25	HuggingFaceTB/SmolLM2-135M	100	M9	0.48695652173913045	-0.0009663379142363969	0.14416988420194846	0.14513622211618485	-0.0009663379142363926
26	HuggingFaceTB/SmolLM2-135M	15	D1	0.3333333333333333	-0.0027406016097302204	0.058333444701747755	0.061074046311477975	-0.00274060160973022
27	HuggingFaceTB/SmolLM2-135M	15	D2	0.28	-0.002635109753609863	0.03797334375478382	0.040608453508393684	-0.0026351097536098655
28	HuggingFaceTB/SmolLM2-135M	15	D3	0.275	-0.003132195761418189	0.04995661889986419	0.05308881466128238	-0.0031321957614181897
29	HuggingFaceTB/SmolLM2-135M	15	D4	0.28	-0.0030548314345287546	0.03879318168525056	0.041848013119779315	-0.003054831434528754
30	HuggingFaceTB/SmolLM2-135M	15	M1	0.08	-0.003793295997246174	0.046166140395384865	0.04995943639263104	-0.0037932959972461766
31	HuggingFaceTB/SmolLM2-135M	15	M2	0.13333333333333333	-0.002436796855019755	0.036265235503217065	0.03870203235823682	-0.0024367968550197544
32	HuggingFaceTB/SmolLM2-135M	15	M3	0.13333333333333333	-0.004261950184122213	0.04474746062943366	0.04900941081355587	-0.004261950184122211
33	HuggingFaceTB/SmolLM2-135M	15	M4	0.16666666666666666	-0.003004847642902553	0.06615070391235346	0.06915555155525602	-0.0030048476429025556
34	HuggingFaceTB/SmolLM2-135M	15	M5	0.2571428571428571	-0.0030674589127578445	0.04419612211676218	0.04726358102952002	-0.0030674589127578367
35	HuggingFaceTB/SmolLM2-135M	15	M6	0.17857142857142858	-0.003808817449199909	0.05504377126744005	0.05885258871663995	-0.0038088174491999055
36	HuggingFaceTB/SmolLM2-135M	15	M7	0.27586206896551724	-0.002522008149490228	0.06990669487656521	0.07242870302605545	-0.002522008149490232
37	HuggingFaceTB/SmolLM2-135M	15	M8	0.2482758620689655	-0.0033366809896140433	0.07597632418573468	0.07931300517534873	-0.003336680989614052
38	HuggingFaceTB/SmolLM2-135M	15	M9	0.14347826086956522	-0.00424485154318142	0.05077856876794253	0.05502342031112395	-0.004244851543181417
39	HuggingFaceTB/SmolLM2-135M	2	D1	0.2	-0.004379337897262313	0.0868529966660086	0.09123233456327091	-0.004379337897262317
40	HuggingFaceTB/SmolLM2-135M	2	D2	0.32	-0.002652323802030879	0.08648023029418252	0.08913255409621339	-0.0026523238020308704
41	HuggingFaceTB/SmolLM2-135M	2	D3	0.3	-0.0038129936223640476	0.08614610972474561	0.08995910334710966	-0.00381299362236405
42	HuggingFaceTB/SmolLM2-135M	2	D4	0.28	-0.0038869188698299716	0.0951861518956866	0.09907307076551657	-0.003886918869829961
43	HuggingFaceTB/SmolLM2-135M	2	M1	0.32	-0.0035486078541725804	0.11584234205540266	0.11939094990957524	-0.003548607854172589
44	HuggingFaceTB/SmolLM2-135M	2	M2	0.3333333333333333	-0.0030931472584294693	0.11289955915417518	0.11599270641260466	-0.0030931472584294767
45	HuggingFaceTB/SmolLM2-135M	2	M3	0.35555555555555557	-0.002613542799331809	0.08500071497166771	0.08761425777099952	-0.0026135427993318056
46	HuggingFaceTB/SmolLM2-135M	2	M4	0.36666666666666664	-0.003852712925648433	0.07104494707749226	0.0748976600031407	-0.003852712925648441
47	HuggingFaceTB/SmolLM2-135M	2	M5	0.37142857142857144	-0.002102533148865318	0.09497790520650766	0.09708043835537299	-0.0021025331488653265
48	HuggingFaceTB/SmolLM2-135M	2	M6	0.30714285714285716	-0.0020503963398823583	0.07859517360770946	0.08064556994759182	-0.0020503963398823682
