	model	race	years	acc	diff	expected	unexpected	macrodiff
0	distilbert/distilgpt2	Black vs Hispanic	0	0.8320754716981132	0.010781895877758907	0.23879888592269052	0.22801699004493162	0.010781895877758907
1	distilbert/distilgpt2	Black vs Hispanic	1	0.5283018867924528	-5.797037492983378e-06	0.08135685488781365	0.08136265192530663	-5.797037492982771e-06
2	distilbert/distilgpt2	Black vs Hispanic	10	0.6443396226415095	0.0004854902060836833	0.03892148808407957	0.038435997877995884	0.000485490206083683
3	distilbert/distilgpt2	Black vs Hispanic	5	0.6716981132075471	0.001170102860732925	0.05496667645869267	0.053796573597959745	0.0011701028607329286
4	distilbert/distilgpt2	White vs Black	0	0.49150943396226415	-0.00046977356417489917	0.23832911235851564	0.23879888592269052	-0.00046977356417488014
5	distilbert/distilgpt2	White vs Black	1	0.5490566037735849	0.00013836061647933356	0.08149521550429298	0.08135685488781365	0.00013836061647932996
6	distilbert/distilgpt2	White vs Black	10	0.5481132075471699	-0.0004592756243890203	0.038462212459690545	0.03892148808407957	-0.0004592756243890217
7	distilbert/distilgpt2	White vs Black	5	0.5386792452830189	0.00016246122762273528	0.0551291376863154	0.05496667645869267	0.00016246122762272885
8	distilbert/distilgpt2	White vs Hispanic	0	0.8216981132075472	0.010312122313584008	0.23832911235851564	0.22801699004493162	0.010312122313584027
9	distilbert/distilgpt2	White vs Hispanic	1	0.5518867924528302	0.0001325635789863502	0.08149521550429298	0.08136265192530663	0.00013256357898634719
10	distilbert/distilgpt2	White vs Hispanic	10	0.6481132075471698	2.6214581694662995e-05	0.038462212459690545	0.038435997877995884	2.6214581694661288e-05
11	distilbert/distilgpt2	White vs Hispanic	5	0.6462264150943396	0.00133256408835566	0.0551291376863154	0.053796573597959745	0.0013325640883556575
